N„–  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
892 |* h02 Pup                          |SB*|08 14 02.9434614994 -40 20 52.469070271| 6.70 | 5.61 | 4.44 | 3.60 | 2.96 |K1II/III             |  39 |   0
893 |* 52 Cyg                           |*  |20 45 39.7530399 +30 43 10.975578      | 6.16 | 5.29 | 4.23 | 3.46 | 2.93 |K0IIIa               | 114 |   0
894 |* tau Ori                          |*  |05 17 36.3885646 -06 50 39.870187      | 3.01 | 3.47 | 3.59 |     ~|     ~|B5III                | 176 |   0
895 |* mu.01 Gru                        |** |22 15 36.9333788184 -41 20 48.355755557|     ~| 5.595| 4.798|     ~|     ~|G8III+G              |  32 |   0
896 |* 17 Per                           |PM*|02 51 30.8392764924 +35 03 35.079950478| 8.02 | 6.10 | 4.53 | 3.32 | 2.37 |K5.5III              | 114 |   0
897 |* tet CrB A                        |*  |15 32 55.783080 +31 21 32.91517        |     ~| 4.14 | 4.30 |     ~|     ~|~                    |   2 |   0
898 |* bet01 Sgr                        |*  |19 22 38.2988181587 -44 27 32.347455419| 3.52 | 3.91 | 4.01 |     ~|     ~|B9V                  |  69 |   0
899 |* 30 LMi                           |Pe*|10 25 54.8153485 +33 47 46.030956      |     ~| 4.978| 4.718|     ~|     ~|F0VmF3/4             | 139 |   0
900 |* gam CrA A                        |PM*|19 06 25.2146839530 -37 03 47.792348952|     ~| 5.07 | 4.53 |     ~|     ~|F8V                  |  75 |   0
901 |* nu. Tau                          |*  |04 03 09.3796630 +05 59 21.479166      |     ~| 3.924| 3.883|     ~|     ~|A0.5Va               | 117 |   0
902 |* sig Boo                          |PM*|14 34 40.8171808483 +29 44 42.463685978| 4.76 | 4.84 | 4.47 | 4.13 | 3.94 |F4VkF2mF1            | 571 |   0
903 |* d Sgr                            |*  |19 17 38.0790601386 -18 57 10.462632446|     ~| 5.895| 4.878|     ~|     ~|G8II-III             |  76 |   0
904 |* g Aqr                            |V* |22 43 35.2330664 -18 49 49.355686      |     ~| 6.06 | 4.69 |     ~|     ~|K3III                |  49 |   0
905 |* 19 Pup                           |** |08 11 16.3058502 -12 55 37.195175      | 6.44 | 5.68 | 4.72 | 3.99 | 3.51 |G8.5IIIb             |  75 |   0
906 |* 35 Ari                           |SB*|02 43 27.1116328306 +27 42 25.695377678| 3.91 | 4.54 | 4.67 | 4.69 | 4.82 |B3V                  | 165 |   0
907 |* y Car                            |sg*|11 12 36.0128669807 -60 19 03.449914755| 5.20 | 5.17 | 4.62 | 4.07 | 3.71 |A5Iae:               |  87 |   0
908 |* alf Hor                          |PM*|04 14 00.1144482 -42 17 39.723208      | 5.97 | 4.96 | 3.86 | 3.00 | 2.41 |K2III                | 130 |   0
909 |* e Cen                            |PM*|12 53 06.9062265 -48 56 35.923798      | 7.28 | 5.70 | 4.33 | 3.35 | 2.60 |K3/4III              |  45 |   0
910 |* l Per                            |PM*|03 21 26.5572313250 +43 19 46.741405350|     ~| 5.006| 4.946|     ~|     ~|A3V                  |  65 |   0
911 |* psi07 Aur                        |PM*|06 50 45.9434427085 +41 46 52.443615217|     ~| 6.244| 4.975|     ~|     ~|K3III                |  74 |   0
912 |* phi Cyg                          |SB*|19 39 22.6060058861 +30 09 11.944875887|     ~| 5.642| 4.673|     ~|     ~|G8III                | 135 |   0
913 |* lam Eri                          |Be*|05 09 08.7831482 -08 45 14.690823      | 3.17 | 4.07 | 4.27 | 4.35 | 4.55 |B2III(e)p            | 284 |   1
914 |* tau Dra                          |PM*|19 15 32.9788792685 +73 21 19.872611829| 7.15 | 5.70 | 4.45 | 3.55 | 2.97 |K2+IIIbCN1           | 114 |   0
915 |* alf Sge                          |*  |19 40 05.7918540977 +18 00 50.004597761| 5.59 | 5.16 | 4.38 | 3.79 | 3.40 |G1II                 | 197 |   0
916 |* nu. Pup                          |Ce*|06 37 45.6713527 -43 11 45.360171      | 2.65 | 3.06 | 3.17 | 3.17 | 3.24 |B8III                | 129 |   0
917 |* ksi UMa                          |RS*|11 18 10.932 +31 31 45.44              | 4.42 | 4.38 | 3.79 |     ~|     ~|F8.5:V+G2V           | 256 |   0
918 |* eps UMa                          |a2*|12 54 01.7495922 +55 57 35.362645      | 1.76 | 1.75 | 1.77 | 1.79 | 1.82 |A1III-IVpkB9         | 454 |   0
919 |* alf Pyx                          |V* |08 43 35.5375544 -33 11 10.989788      | 2.65 | 3.50 | 3.68 | 3.76 | 3.93 |B1.5III              | 197 |   0
920 |HD 211073                          |** |22 13 52.7273114942 +39 42 53.744154939| 7.32 | 5.88 | 4.49 | 3.48 | 2.74 |K2.5III              | 106 |   1
921 |* ups Sgr                          |Be*|19 21 43.6228354 -15 57 18.062473      | 4.18 | 4.71 | 4.61 | 4.34 | 4.21 |B2Vp_sh              | 284 |   0
922 |* 132 Tau                          |** |05 49 00.9858052262 +24 34 03.154488631|     ~| 5.897| 4.873|     ~|     ~|G9III                | 116 |   0
923 |* ups01 Eri                        |PM*|04 33 30.5514535428 -29 45 59.377489155| 6.20 | 5.49 | 4.51 | 3.76 | 3.22 |K0+IIIbFe-0.5        |  66 |   0
924 |* chi Cet                          |PM*|01 49 35.1031601 -10 41 11.067376      | 5.04 | 5.00 | 4.68 | 4.38 | 4.22 |F0V                  | 179 |   0
925 |* del UMa                          |PM*|12 15 25.5606327 +57 01 57.415606      | 3.460| 3.410| 3.320| 3.25 | 3.25 |A2Vn                 | 280 |   0
926 |* del CMa                          |s*y|07 08 23.4840514 -26 23 35.518484      | 3.06 | 2.52 | 1.84 | 1.33 | 1.00 |F8Ia                 | 326 |   0
927 |* psi02 Aur                        |PM*|06 39 19.8262263821 +42 29 19.966881751| 7.36 | 6.05 | 4.82 | 3.92 | 3.31 |K2-III               |  80 |   0
928 |* gam Eri                          |LP?|03 58 01.7669489 -13 30 30.669770      | 6.52 | 4.54 | 2.94 | 1.68 | 0.68 |M0III-IIIb           | 170 |   0
929 |* v Cen                            |*  |14 20 19.5426210 -56 23 11.389952      | 4.04 | 4.47 | 4.35 | 4.20 | 4.06 |B5Ib/II              |  75 |   0
930 |Cl Trumpler 16                     |OpC|10 45 10.0 -59 43 00                   |     ~| 5.35 | 5.0  |     ~|     ~|~                    | 430 |   0
931 |* i Aql                            |V* |19 01 40.8270735 -05 44 20.813427      | 6.15 | 5.11 | 4.02 | 3.23 | 2.69 |K1III                |  88 |   0
932 |* sig Per                          |V* |03 30 34.4872784580 +47 59 42.780422381| 7.25 | 5.71 | 4.36 |     ~|     ~|K3-III               | 115 |   0
933 |HD 217382                          |PM*|22 54 24.9562141240 +84 20 46.229043841|     ~| 6.112| 4.684|     ~|     ~|K4III                |  77 |   0
934 |* 32 Oph                           |PM*|17 03 07.8717682357 +14 05 31.011652980| 8.51 | 6.58 | 4.98 | 3.54 | 2.33 |M3-III               |  82 |   0
935 |* eps Boo A                        |*  |14 44 59.223146 +27 04 27.14599        |     ~| 3.61 | 2.45 |     ~|     ~|K0-II-III            | 114 |   0
936 |* 55 Cyg                           |s*b|20 48 56.2911163453 +46 06 50.883966851| 4.83 | 5.28 | 4.86 | 4.41 | 4.10 |B4Ia                 | 471 |   0
937 |* alf Crt                          |PM*|10 59 46.4648602 -18 17 55.617244      | 6.14 | 5.16 | 4.07 | 3.27 | 2.72 |K0IIIb               | 198 |   0
938 |* omi Peg                          |*  |22 41 45.3989328992 +29 18 27.554214525| 4.77 | 4.78 | 4.79 | 4.75 | 4.77 |A1IV                 | 266 |   0
939 |* kap Per                          |PM*|03 09 29.7715574 +44 51 27.146337      | 5.62 | 4.79 | 3.81 | 3.07 | 2.57 |G9.5IIIb             | 224 |   0
940 |* gam02 Del                        |PM*|20 46 39.4991856138 +16 07 27.435846946|     ~| 5.26 | 4.25 | 4.1  |     ~|K1IV                 | 168 |   0
941 |* rho Pup                          |dS*|08 07 32.6488235 -24 18 15.567946      | 3.43 | 3.24 | 2.81 | 2.46 | 2.25 |F5IIkF2IImF5II       | 277 |   0
942 |* iot Cnc                          |PM*|08 46 41.8219658710 +28 45 35.617935005|     ~| 4.996| 4.018|     ~|     ~|G8IIIaBa0.2          | 155 |   0
943 |* del Aql                          |** |19 25 29.90139 +03 06 53.2061          | 3.72 | 3.68 | 3.36 | 3.11 | 2.95 |F1IV-V(n)            | 225 |   0
944 |* alf UMi                          |cC*|02 31 49.09456 +89 15 50.7923          | 3.00 | 2.62 | 2.02 | 1.53 | 1.22 |F8Ib                 | 611 |   2
945 |* eta Sco                          |PM*|17 12 09.1956531 -43 14 21.090526      | 3.83 | 3.74 | 3.33 | 2.97 | 2.77 |F5IV                 | 139 |   0
946 |* 5 UMi                            |V* |14 27 31.5433513 +75 41 45.571658      |     ~| 5.664| 4.235|     ~|     ~|K4-III               |  85 |   0
947 |* eta Aur                          |PM*|05 06 30.8933734 +41 14 04.112721      | 2.33 | 3.00 | 3.18 | 3.23 | 3.40 |B3V                  | 357 |   0
948 |* tau UMa                          |SB*|09 10 55.0404694887 +63 30 49.064336279|     ~| 5.008| 4.640|     ~|     ~|kA5hF0mF5II          | 214 |   1
949 |* rho Tau                          |dS*|04 33 50.9193650280 +14 50 39.936472608| 4.98 | 4.90 | 4.65 | 4.41 | 4.29 |A8V                  | 205 |   0
950 |* bet Phe A                        |*  |01 06 05.095275 -46 43 06.59527        |     ~| 4.90 | 4.00 |     ~|     ~|~                    |   2 |   0
951 |* p Cen                            |*  |12 50 41.1642626041 -33 59 57.614513910|     ~| 4.863| 4.894|     ~|     ~|B9V                  |  42 |   0
952 |* 45 Eri                           |*  |04 31 52.6683068011 -00 02 38.440671389|     ~| 6.219| 4.896|     ~|     ~|K0/1III              |  65 |   0
953 |* ome Lup                          |PM*|15 38 03.2037165 -42 34 02.444371      | 7.47 | 5.75 | 4.33 | 3.30 | 2.57 |K3III                |  54 |   0
954 |* kap Cep                          |*  |20 08 53.3449244738 +77 42 41.090858909|     ~| 4.35 | 4.40 |     ~|     ~|B9III                | 130 |   0
955 |* omi Ori                          |S* |04 52 31.9660398278 +14 15 02.326990690|     ~| 6.458| 4.721|     ~|     ~|M3SIII               | 204 |   0
956 |V* V831 Cen                        |El*|13 12 17.59459 -59 55 14.0842          | 4.11 | 4.500| 4.593| 6.33 |     ~|B7V                  |  76 |   0
957 |* alf Del                          |** |20 39 38.2872009 +15 54 43.463736      | 3.550| 3.740| 3.800| 3.77 | 3.81 |B9IV                 | 270 |   0
958 |* eta Ser                          |PM*|18 21 18.6005560 -02 53 55.776595      | 4.84 | 4.19 | 3.25 | 2.55 | 2.05 |K0III-IV             | 351 |   0
959 |* b And                            |SB*|02 13 13.3221992348 +44 13 53.927938133|     ~| 6.320| 4.826|     ~|     ~|K4-III:              |  98 |   0
960 |* 30 Mon                           |PM*|08 25 39.6320108 -03 54 23.117820      | 3.85 | 3.88 | 3.90 | 3.87 | 3.92 |A0Va                 | 258 |   0
961 |* r Pup                            |Be*|08 13 29.5171968 -35 53 58.266226      | 3.68 | 4.66 | 4.77 | 4.68 | 4.77 |B2ne                 | 175 |   0
962 |* lam CMa                          |*  |06 28 10.2074721 -32 34 48.245488      | 3.70 | 4.31 | 4.48 | 4.54 | 4.70 |B4V                  |  74 |   0
963 |* gam Pic                          |PM*|05 49 49.6618144 -56 09 59.980752      |     ~| 5.589| 4.494|     ~|     ~|K1III                |  63 |   0
964 |* del Ori                          |Al*|05 32 00.40009 -00 17 56.7424          | 0.96 | 2.02 | 2.41 | 2.32 | 2.54 |B0III+O9V            | 745 |   0
965 |* del Phe                          |PM*|01 31 15.1047497 -49 04 21.730837      |     ~| 4.918| 3.935|     ~|     ~|G8.5IIIb             | 111 |   0
966 |C 1652-407                         |OpC|16 55 30.00 -40 50 00.0                |     ~|     ~| 3.4  |     ~|     ~|~                    |  11 |   0
967 |* kap Lep A                        |*  |05 13 13.8789336848 -12 56 28.626623377|     ~| 4.35 | 4.44 |     ~|     ~|~                    |   0 |   0
968 |* omi Ser                          |dS*|17 41 24.8728627 -12 52 31.108612      |     ~| 4.310| 4.228|     ~|     ~|A2Va                 |  89 |   0
969 |* 6 CMi                            |V* |07 29 47.7817252 +12 00 23.634733      |     ~| 5.812| 4.531|     ~|     ~|K1III                | 107 |   0
970 |* omi Pup                          |Be*|07 48 05.1683937 -25 56 13.812276      | 3.42 | 4.43 | 4.49 | 4.37 | 4.37 |B1IVe                | 198 |   0
971 |* bet Her                          |SB*|16 30 13.1995466 +21 29 22.600778      | 4.39 | 3.70 | 2.77 | 2.13 | 1.65 |G7IIIaFe-0.5         | 306 |   0
972 |* ups Cyg                          |Be*|21 17 55.0870156081 +34 53 48.769974820| 3.50 | 4.32 | 4.42 | 4.37 | 4.45 |B2Vne                | 300 |   0
973 |* lam Per                          |*  |04 06 35.0435954 +50 21 04.549959      | 4.27 | 4.31 | 4.29 | 4.21 | 4.19 |A0IVn                | 102 |   0
974 |* gam02 Nor                        |PM*|16 19 50.4222657 -50 09 19.822276      | 6.27 | 5.10 | 4.02 | 3.24 | 2.66 |K0III                |  64 |   1
975 |* tau Cen                          |PM*|12 37 42.1634721166 -48 32 28.709954610| 3.94 | 3.91 | 3.86 | 3.81 | 3.77 |A1IVnn               |  95 |   0
976 |* eps Sct                          |*  |18 43 31.2554790878 -08 16 30.805110638|     ~| 5.998| 4.889|     ~|     ~|G8IIb                |  83 |   0
977 |* psi Vel A                        |PM*|09 30 41.9257584910 -40 28 00.590987737|     ~| 4.25 | 3.91 |     ~|     ~|~                    |  18 |   0
978 |* rho Gem                          |** |07 29 06.71887 +31 47 04.3773          | 4.48 | 4.50 | 4.18 | 3.86 | 3.67 |F1V                  | 310 |   0
979 |HD 91312                           |SB*|10 33 13.8923916117 +40 25 31.944137794|     ~| 4.921| 4.715|     ~|     ~|A7IV                 |  87 |   0
980 |* alf UMa B                        |PM*|11 03 43.598848 +61 45 03.14311        |     ~| 5.26 | 4.86 |     ~|     ~|A7.5                 |   5 |   0
981 |* iot Tri                          |** |02 12 22.28003 +30 18 11.0430          | 6.048| 5.741| 4.952|     ~|     ~|G0III+G5III          | 183 |   0
982 |* alf Tel                          |PM*|18 26 58.4160403 -45 58 06.449765      | 2.7  | 3.299| 3.463|     ~|     ~|B3IV                 | 128 |   0
983 |* 16 Lib                           |PM*|14 57 10.9983807532 -04 20 47.252925214| 4.86 | 4.81 | 4.49 | 4.17 | 4.00 |F2V                  | 112 |   0
984 |* kap CMa                          |Be*|06 49 50.4593263 -32 30 30.522482      | 2.73 | 3.68 | 3.89 | 3.91 | 4.05 |B1.5Ve               | 270 |   0
985 |* b03 Cyg                          |dS*|20 14 32.0319919055 +36 48 22.684605093| 5.10 | 5.11 | 4.99 | 4.79 | 4.72 |A2V                  | 241 |   0
986 |* bet Phe                          |** |01 06 05.03952 -46 43 06.2785          | 4.75 | 4.19 | 3.30 | 2.59 | 2.08 |G8III                |  79 |   0
987 |* 56 Cet                           |PM*|01 56 40.2031410780 -22 31 36.409087752|     ~| 6.27 | 4.85 |     ~|     ~|K3III                |  27 |   0
988 |HD 36960                           |*  |05 35 02.6807398 -06 00 07.303539      | 3.52 | 4.50 | 4.72 |     ~|     ~|B1/2Ib/II            | 244 |   0
989 |* psi01 Lup                        |*  |15 39 45.9793110547 -34 24 42.907312468|     ~| 5.641| 4.661|     ~|     ~|G8/K0III             |  32 |   0
990 |HD 81817                           |SB*|09 37 05.2877790 +81 19 34.971143      |     ~| 5.736| 4.255|     ~|     ~|K3II-III             |  88 |   0
991 |* gam Sge                          |PM*|19 58 45.4286265 +19 29 31.728079      | 6.97 | 5.04 | 3.47 | 2.27 | 1.35 |M0-III               | 241 |   0
992 |* 13 Lyr                           |LP*|18 55 20.1022285 +43 56 45.931489      | 7.00 | 5.59 | 4.00 | 1.95 | 0.04 |M5III                | 300 |   0
993 |* Y Vel                            |PM*|10 31 21.8213012849 -53 42 55.737315449|     ~| 5.39 | 4.89 |     ~|     ~|F9VFe-0.8CH-0.7      | 141 |   0
994 |* bet Car                          |PM*|09 13 11.97746 -69 43 01.9473          | 1.72 | 1.69 | 1.69 | 1.63 | 1.61 |A1III-               | 212 |   0
995 |* pi. Aur                          |LP*|05 59 56.0982950011 +45 56 12.276134867| 7.80 | 5.97 | 4.25 | 2.56 | 1.08 |M3IIb                | 159 |   0
996 |* 2 Sco                            |** |15 53 36.71880 -25 19 37.7087          | 3.86 | 4.52 | 4.59 |     ~|     ~|B2.5Vn               | 151 |   0
997 |* a Car                            |SB*|09 10 58.0863884 -58 58 00.817205      | 2.56 | 3.25 | 3.40 |     ~|     ~|B2IV-V               | 127 |   0
998 |* zet Aql                          |PM*|19 05 24.6080155 +13 51 48.518212      | 2.99 | 3.00 | 2.99 | 2.98 | 2.98 |A0IV-Vnn             | 322 |   0
999 |* ksi01 CMa                        |bC*|06 31 51.3663578 -23 25 06.318090      | 3.10 | 4.09 | 4.33 | 4.45 | 4.72 |B0.7IV               | 299 |   0
1000|* k Aqr                            |LP*|20 47 44.2389847 -05 01 39.721978      | 8.04 | 6.11 | 4.44 | 2.97 | 1.66 |M3III                | 118 |   0
1001|* nu. UMa                          |*  |11 18 28.7366424 +33 05 39.510697      | 6.44 | 4.89 | 3.49 | 2.43 | 1.73 |K3-III:              | 188 |   0
1002|* gam Cir A                        |*  |15 23 22.656792 -59 19 14.52792        |     ~| 4.85 | 4.96 |     ~|     ~|B3/4V                |  28 |   0
1003|* kap Oph                          |LP?|16 57 40.0978499 +09 22 30.112596      | 5.52 | 4.36 | 3.20 | 2.36 | 1.82 |K2III                | 286 |   0
1004|NAME CMa Dwarf Galaxy              |G  |07 12 36.0 -27 40 00                   |     ~|     ~|-0.1  |     ~|     ~|~                    | 188 |   1
1005|* 39 Eri                           |PM*|04 14 23.6883920999 -10 15 22.617787948| 7.18 | 6.07 | 4.90 | 4.01 | 3.44 |K2III                | 101 |   0
1006|* 2 Lac                            |SB*|22 21 01.5472649 +46 32 11.646085      | 3.95 | 4.431| 4.540|     ~|     ~|B6V                  | 116 |   0
1007|* iot Phe                          |a2*|23 35 04.5708228254 -42 36 54.540881385| 4.86 | 4.79 | 4.71 | 4.59 | 4.52 |ApSrCrEu             | 109 |   1
1008|* mu. Aqr                          |SB*|20 52 39.2327670 -08 58 59.949931      |     ~| 5.034| 4.717|     ~|     ~|A3II                 | 108 |   0
1009|* tet Cap                          |PM*|21 05 56.8278313 -17 13 58.302085      | 4.07 | 4.06 | 4.07 | 4.06 | 4.08 |A1V                  |  77 |   0
1010|Cl Collinder 135                   |OpC|07 17 17.0 -36 49 00                   |     ~| 2.69 | 2.1  |     ~|     ~|~                    |  62 |   0
1011|* alf Her A                        |LP*|17 14 38.852741 +14 23 25.33577        |     ~| 4.67 | 3.33 |     ~|     ~|M5Ib-II              | 429 |   0
1012|* mu. Vel                          |** |10 46 46.17877 -49 25 12.9244          | 4.16 | 3.59 | 2.69 | 2.01 | 1.52 |G6III                | 172 |   0
1013|* iot Cen                          |PM*|13 20 35.8173695 -36 42 44.244688      | 2.77 | 2.76 | 2.73 | 2.68 | 2.69 |kA1.5hA3mA3Va        | 190 |   0
1014|* nu. Ser                          |*  |17 20 49.6614955 -12 50 48.753267      |     ~| 4.361| 4.324|     ~|     ~|A0/1V                |  56 |   0
1015|* tau02 Lup                        |** |14 26 10.81378 -45 22 45.4023          |     ~| 4.764| 4.352|     ~|     ~|F7                   |  54 |   0
1016|* kap Sco                          |bC*|17 42 29.27520 -39 01 47.9391          | 1.32 | 2.211| 2.386|     ~|     ~|B1.5III              | 227 |   0
